年龄分组,发病数,死亡数,发病率(1/10万),死亡率(1/10万),发病数,死亡数,发病率(1/10万),死亡率(1/10万),年份,月份
,湖北省,3.0,0.0,0.004993078677555151,0,2004,4,,,
,湖南省,90.0,0.0,0.1347448606064417,0,2004,4,,,
,广东省,1059.0,0.0,1.33136875771603,0,2004,4,,,
,广西,2012.0,0.0,4.143467351093884,0,2004,4,,,
,海南省,5.0,0.0,0.06140880393458489,0,2004,4,,,
,重庆市,265.0,0.0,0.846617453379812,0,2004,4,,,
,四川省,4832.0,0.0,5.545172638024993,0,2004,4,,,
,贵州省,703.0,0.0,1.8388914984174678,0,2004,4,,,
,西藏,11.0,0.0,0.4211969267940596,0,2004,4,,,
,陕西省,24.0,0.0,0.0656077897440919,0,2004,4,,,
,甘肃省,56.0,0.0,0.21424110349471234,0,2004,4,,,
,青海省,36.0,1.0,0.6672061151664476,0.018533503199067988,2004,4,,,
,宁夏,8.0,0.0,0.13699739722069956,0,2004,4,,,
,新疆,1.0,0.0,0.005375142481589331,0,2004,4,,,
,全国,3062.0,0.0,0.23556020555743606,0,2004,5,,,
,北京市,3.0,0.0,0.02025111381125962,0,2004,5,,,
,天津市,1.0,0.0,0.01076107255179681,0,2004,5,,,
,河北省,150.0,0.0,0.22061891430078864,0,2004,5,,,
,山西省,5.0,0.0,0.015086187388550791,0,2004,5,,,
,吉林省,1.0,0.0,0.003751965091716787,0,2004,5,,,
,黑龙江,1.0,0.0,0.0026658163778747797,0,2004,5,,,
,江苏省,125.0,0.0,0.16515593904852685,0,2004,5,,,
,浙江省,333.0,0.0,0.7085483270386723,0,2004,5,,,
,安徽省,60.0,0.0,0.09312250563608446,0,2004,5,,,
,福建省,24.0,0.0,0.06674824785849372,0,2004,5,,,
,江西省,152.0,0.0,0.3548444804186194,0,2004,5,,,
,山东省,10.0,0.0,0.010906769750183166,0,2004,5,,,
,河南省,39.0,0.0,0.04023937267849773,0,2004,5,,,
,湖北省,5.0,0.0,0.008321797795925252,0,2004,5,,,
,湖南省,99.0,0.0,0.1482193466670859,0,2004,5,,,
,广东省,538.0,0.0,0.6763705303599851,0,2004,5,,,
,广西,478.0,0.0,0.9843824024964597,0,2004,5,,,
,海南省,27.0,0.0,0.3316075412467584,0,2004,5,,,
,重庆市,153.0,0.0,0.48880177497023103,0,2004,5,,,
,四川省,502.0,0.0,0.5760920248941529,0,2004,5,,,
,贵州省,224.0,0.0,0.5859341332084108,0,2004,5,,,
,西藏,8.0,0.0,0.30632503766840696,0,2004,5,,,
,陕西省,21.0,0.0,0.0574068160260804,0,2004,5,,,
,甘肃省,41.0,0.0,0.15685509363005726,0,2004,5,,,
,青海省,30.0,0.0,0.5560050959720396,0,2004,5,,,
,宁夏,23.0,0.0,0.3938675170095112,0,2004,5,,,
,新疆,9.0,0.0,0.04837628233430397,0,2004,5,,,
,全国,2276.0,0.0,0.17509308551558606,0,2004,6,,,
,北京市,2.0,0.0,0.013500742540839746,0,2004,6,,,
,河北省,57.0,0.0,0.08383518743429969,0,2004,6,,,
,山西省,4.0,0.0,0.012068949910840633,0,2004,6,,,
,黑龙江,2.0,0.0,0.0053316327557495595,0,2004,6,,,
,江苏省,18.0,0.0,0.02378245522298787,0,2004,6,,,
,浙江省,320.0,0.0,0.6808872812383637,0,2004,6,,,
,安徽省,24.0,0.0,0.037249002254433776,0,2004,6,,,
,福建省,13.0,0.0,0.036155300923350765,0,2004,6,,,
,江西省,137.0,0.0,0.3198269330088872,0,2004,6,,,
,山东省,3.0,0.0,0.0032720309250549493,0,2004,6,,,
,河南省,18.0,0.0,0.018572018159306643,0,2004,6,,,
,湖北省,10.0,0.0,0.016643595591850503,0,2004,6,,,
,湖南省,90.0,0.0,0.1347448606064417,0,2004,6,,,
,广东省,300.0,0.0,0.37715828830482434,0,2004,6,,,
,广西,638.0,0.0,1.3138827882693331,0,2004,6,,,
,海南省,56.0,0.0,0.6877786040673507,0,2004,6,,,
,重庆市,46.0,0.0,0.14696001077536355,0,2004,6,,,
,四川省,340.0,0.0,0.39018184952990426,0,2004,6,,,
,贵州省,120.0,0.0,0.31389328564736296,0,2004,6,,,
,云南省,1.0,0.0,0.0022965540206919518,0,2004,6,,,
,西藏,3.0,0.0,0.11487188912565262,0,2004,6,,,
,陕西省,12.0,0.0,0.03280389487204595,0,2004,6,,,
,甘肃省,35.0,0.0,0.13390068968419522,0,2004,6,,,
